game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030234,16,away,LOSS,REG,Joel Quenneville,0,7,22,10,3,0,48.3,8,4
2012030234,17,home,WIN,REG,Mike Babcock,2,6,30,10,3,1,51.7,10,8
2012030235,17,away,LOSS,REG,Mike Babcock,1,6,25,10,4,0,50.8,5,3
2012030235,16,home,WIN,REG,Joel Quenneville,2,11,22,12,3,2,49.2,7,7
2012030236,16,away,LOSS,REG,Joel Quenneville,2,7,16,10,5,1,39,3,5
2012030236,17,home,WIN,REG,Mike Babcock,3,9,29,12,3,0,61,12,4
2012030237,17,away,LOSS,OT,Mike Babcock,1,6,38,10,2,0,52.5,6,6
2012030237,16,home,WIN,OT,Joel Quenneville,2,8,36,6,4,0,47.5,14,9
2012030121,9,away,TIE,REG,Paul MacLean,2,7,31,23,2,0,39.4,9,1
2012030121,8,home,TIE,REG,Michel Therrien,2,12,24,6,5,1,60.6,11,10
2012030122,9,away,LOSS,REG,Paul MacLean,1,7,26,8,4,0,42.1,4,0
2012030122,8,home,WIN,REG,Michel Therrien,3,8,37,12,2,0,57.9,7,6
2012030123,8,away,LOSS,REG,Michel Therrien,1,8,44,129,6,1,47.7,13,8
2012030123,9,home,WIN,REG,Paul MacLean,4,7,47,107,11,3,52.3,8,6
2012030124,8,away,LOSS,OT,Michel Therrien,2,7,46,6,1,0,44.3,6,3
2012030124,9,home,WIN,OT,Paul MacLean,3,8,61,2,3,0,55.7,12,5
2012030125,9,away,WIN,REG,Paul MacLean,4,7,16,22,5,3,50.7,14,3
2012030125,8,home,LOSS,REG,Michel Therrien,1,8,22,32,5,1,49.3,10,4
2012030151,30,away,LOSS,OT,Mike Yeo,1,6,36,6,4,0,50,9,10
2012030151,16,home,WIN,OT,Joel Quenneville,2,9,40,8,3,1,50,17,14
2012030152,30,away,LOSS,REG,Mike Yeo,2,7,43,10,2,0,45.6,3,4
2012030152,16,home,WIN,REG,Joel Quenneville,3,12,35,6,4,0,54.4,6,14
2012030153,16,away,LOSS,OT,Joel Quenneville,2,6,13,8,2,0,44.4,3,2
2012030153,30,home,WIN,OT,Mike Yeo,3,9,34,6,3,0,55.6,7,9
2012030154,16,away,WIN,REG,Joel Quenneville,3,6,10,12,2,0,53.7,4,5
2012030154,30,home,LOSS,REG,Mike Yeo,0,6,20,4,6,0,46.3,14,4
2012030155,30,away,LOSS,REG,Mike Yeo,1,5,32,18,2,0,52.5,6,4
2012030155,16,home,WIN,REG,Joel Quenneville,3,8,23,6,2,1,47.5,9,12
2012030181,26,away,LOSS,OT,Darryl Sutter,1,7,41,12,2,0,36.2,6,6
2012030181,19,home,WIN,OT,Ken Hitchcock,2,10,38,8,5,1,63.8,10,5
2012030182,26,away,LOSS,REG,Darryl Sutter,1,7,38,8,4,1,44.8,2,6
2012030182,19,home,WIN,REG,Ken Hitchcock,2,6,38,8,4,0,55.2,2,11
2012030183,19,away,LOSS,REG,Ken Hitchcock,0,7,39,10,4,0,50.9,13,2
2012030183,26,home,WIN,REG,Darryl Sutter,1,5,53,10,4,0,49.1,17,9
2012030184,19,away,WIN,REG,Ken Hitchcock,3,5,46,8,2,1,48.3,12,5
2012030184,26,home,LOSS,REG,Darryl Sutter,2,7,42,8,2,0,51.7,8,7
2012030185,26,away,WIN,OT,Darryl Sutter,3,6,30,2,2,1,50,2,7
2012030185,19,home,LOSS,OT,Ken Hitchcock,2,9,41,4,1,0,50,7,7
2012030186,19,away,LOSS,REG,Ken Hitchcock,1,5,36,2,1,0,47.2,7,2
2012030186,26,home,WIN,REG,Darryl Sutter,2,4,37,2,1,0,52.8,21,7
2012030161,17,away,LOSS,REG,Mike Babcock,1,5,24,8,4,1,51.8,13,3
2012030161,24,home,WIN,REG,Bruce Boudreau,3,6,35,8,4,2,48.2,8,2
2012030162,17,away,WIN,OT,Mike Babcock,3,8,22,10,6,3,61.5,5,4
2012030162,24,home,LOSS,OT,Bruce Boudreau,2,8,37,12,5,1,38.5,11,3
2012030163,24,away,WIN,REG,Bruce Boudreau,2,7,26,14,6,2,49.2,3,5
2012030163,17,home,LOSS,REG,Mike Babcock,0,5,16,25,6,0,50.8,9,5
2012030164,24,away,LOSS,OT,Bruce Boudreau,2,8,26,2,3,0,55.7,3,5
2012030164,17,home,WIN,OT,Mike Babcock,3,12,38,6,1,0,44.3,11,5
2012030165,17,away,LOSS,OT,Mike Babcock,2,7,19,8,3,1,51.5,12,6
2012030165,24,home,WIN,OT,Bruce Boudreau,3,8,32,11,3,1,48.5,15,5
2012030166,24,away,WIN,OT,Bruce Boudreau,3,9,25,6,0,0,46.9,4,2
2012030166,17,home,LOSS,OT,Mike Babcock,2,7,24,0,3,1,53.1,12,4
2012030167,17,away,WIN,REG,Mike Babcock,3,8,18,10,2,0,50.6,5,9
2012030167,24,home,LOSS,REG,Bruce Boudreau,2,8,34,6,4,1,49.4,9,4
2012030111,2,away,LOSS,REG,Jack Capuano,0,6,41,51,4,0,51.6,4,3
2012030111,5,home,WIN,REG,Dan Bylsma,3,6,36,38,4,2,48.4,2,7
2012030112,2,away,LOSS,REG,Jack Capuano,2,10,31,15,4,1,39,2,4
2012030112,5,home,WIN,REG,Dan Bylsma,3,8,28,15,4,1,61,11,4
2012030113,5,away,WIN,OT,Dan Bylsma,3,6,33,8,5,3,47.5,8,6
2012030113,2,home,LOSS,OT,Jack Capuano,2,9,35,12,3,0,52.5,14,19
2012030114,5,away,LOSS,REG,Dan Bylsma,2,7,26,15,2,0,46.3,12,10
2012030114,2,home,WIN,REG,Jack Capuano,4,6,33,11,4,1,53.7,8,13
2012030115,2,away,LOSS,REG,Jack Capuano,0,7,27,36,2,0,36.2,2,4
2012030115,5,home,WIN,REG,Dan Bylsma,2,7,33,30,5,1,63.8,8,5
2012030116,5,away,LOSS,OT,Dan Bylsma,2,5,23,6,1,0,39.7,10,6
2012030116,2,home,WIN,OT,Jack Capuano,3,9,31,2,3,0,60.3,7,15
2012030131,3,away,LOSS,REG,John Tortorella,1,9,41,12,4,0,48.4,7,9
2012030131,15,home,WIN,REG,Adam Oates,3,7,32,10,5,1,51.6,11,6
2017030134,15,away,WIN,REG,Barry Trotz,2,8,19,6,3,1,64.3,5,4
2013020444,3,home,WIN,OT,Alain Vigneault,3,6,33,6,4,1,53.7,8,6
2013030241,26,away,WIN,OT,Darryl Sutter,3,9,41,8,4,1,54.1,14,5
2013030241,24,home,LOSS,OT,Bruce Boudreau,2,8,54,8,4,0,45.9,16,6
2013030242,26,away,WIN,REG,Darryl Sutter,3,4,42,10,3,0,45.9,9,3
2013030242,24,home,LOSS,REG,Bruce Boudreau,1,9,53,8,4,1,54.1,9,2
2013030243,24,away,WIN,REG,Bruce Boudreau,3,5,35,6,2,2,41.2,11,7
2013030243,26,home,LOSS,REG,Darryl Sutter,2,7,55,8,1,1,58.8,13,4
2013030244,24,away,WIN,REG,Bruce Boudreau,2,3,26,8,3,1,53,9,6
2013030244,26,home,LOSS,REG,Darryl Sutter,0,7,52,6,4,0,47,21,5
2013030245,26,away,WIN,REG,Darryl Sutter,3,10,38,10,3,1,57.9,14,4
2013030245,24,home,LOSS,REG,Bruce Boudreau,2,6,31,10,3,1,42.1,10,8
2013030246,24,away,LOSS,REG,Bruce Boudreau,1,5,35,8,5,0,40.3,14,4
2013030246,26,home,WIN,REG,Darryl Sutter,2,5,39,10,4,0,59.7,23,3
2013030247,26,away,WIN,REG,Darryl Sutter,4,7,32,8,5,2,60.9,14,7
2013030247,24,home,LOSS,REG,Bruce Boudreau,2,6,38,14,3,0,39.1,14,3
2014030231,30,away,WIN,REG,Mike Yeo,3,8,36,2,3,1,44.1,12,7
2014030231,16,home,LOSS,REG,Joel Quenneville,2,8,34,6,1,0,55.9,12,8
2014030232,30,away,LOSS,REG,Mike Yeo,1,7,42,4,2,1,47.5,10,6
2014030232,16,home,WIN,REG,Joel Quenneville,2,7,39,4,2,0,52.5,10,6
2014030233,16,away,WIN,REG,Joel Quenneville,1,5,11,6,1,1,62.7,5,6
2014030233,30,home,LOSS,REG,Mike Yeo,0,7,20,2,3,0,37.3,7,10
2014030234,16,away,LOSS,REG,Joel Quenneville,2,6,6,6,2,1,50,0,12
2014030234,30,home,WIN,REG,Mike Yeo,3,9,24,4,3,1,50,9,2
2013030321,26,away,LOSS,REG,Darryl Sutter,1,6,34,4,2,0,50,4,2
2013030321,16,home,WIN,REG,Joel Quenneville,3,5,25,4,2,1,50,3,6
2013030322,26,away,WIN,REG,Darryl Sutter,4,7,35,10,4,2,61.4,7,3
2013030322,16,home,LOSS,REG,Joel Quenneville,2,6,23,10,4,1,38.6,9,4
2013030323,16,away,WIN,REG,Joel Quenneville,3,6,32,6,4,0,47.4,13,2
2013030323,26,home,LOSS,REG,Darryl Sutter,2,8,26,8,3,1,52.6,12,5
2013030324,16,away,LOSS,REG,Joel Quenneville,2,6,30,8,3,0,42.1,17,1
2013030324,26,home,WIN,REG,Darryl Sutter,3,5,33,8,3,2,57.9,19,4
2015030222,5,away,WIN,REG,Mike Sullivan,2,8,21,6,5,0,37.1,9,9
2015030222,15,home,LOSS,REG,Barry Trotz,1,6,31,12,2,1,62.9,10,12
2015030223,15,away,LOSS,REG,Barry Trotz,2,12,58,6,4,0,50.7,8,4
2015030223,5,home,WIN,REG,Mike Sullivan,3,5,25,8,3,0,49.3,5,11
2015030224,15,away,LOSS,OT,Barry Trotz,2,9,41,10,2,0,52.6,2,2
2015030224,5,home,WIN,OT,Mike Sullivan,3,8,47,8,4,0,47.4,13,5
2015030225,5,away,LOSS,REG,Mike Sullivan,1,7,28,12,2,1,49.2,14,10
2015030225,15,home,WIN,REG,Barry Trotz,3,4,26,6,5,2,50.8,13,11
2015030226,15,away,WIN,OT,Barry Trotz,3,9,35,6,6,2,43.6,5,3
2015030226,5,home,LOSS,OT,Mike Sullivan,2,10,43,12,3,2,56.4,9,8
2015030111,2,away,WIN,REG,Jack Capuano,3,6,40,8,2,1,51.5,10,2
2015030111,13,home,LOSS,REG,Gerard Gallant,2,11,39,6,3,1,48.5,8,4
2015030112,2,away,LOSS,REG,Jack Capuano,1,10,32,8,3,0,42.9,9,6
2015030112,13,home,WIN,REG,Gerard Gallant,3,7,22,12,1,0,57.1,13,7
2015020239,52,away,LOSS,REG,Paul Maurice,3,9,21,8,4,0,36.7,10,4
2015020239,25,home,WIN,REG,Lindy Ruff,4,8,22,8,4,2,63.3,11,6
2015030175,18,away,LOSS,REG,Peter Laviolette,2,7,30,14,3,0,39.4,13,5
2015030175,24,home,WIN,REG,Bruce Boudreau,3,8,26,6,7,1,60.6,10,7
2015030176,24,away,LOSS,REG,Bruce Boudreau,1,6,25,2,2,1,51.9,5,5
2015030176,18,home,WIN,REG,Peter Laviolette,3,6,30,4,1,0,48.1,8,4
2015030177,18,away,WIN,REG,Peter Laviolette,2,5,19,10,3,0,49.1,7,7
2015030177,24,home,LOSS,REG,Bruce Boudreau,1,9,38,8,4,1,50.9,9,5
2014020316,52,away,TIE,REG,Paul Maurice,2,8,26,27,4,2,47.8,6,6
2014020316,29,home,TIE,REG,Todd Richards,2,8,36,15,5,1,52.2,5,5
2014020853,8,away,TIE,REG,Michel Therrien,2,11,26,11,2,0,42.9,7,2
2014020853,9,home,TIE,REG,Dave Cameron,2,9,38,9,3,1,57.1,7,5
2014020232,26,away,TIE,SO,Darryl Sutter,3,6,36,4,2,0,46.2,12,7
2014020232,24,home,TIE,SO,Bruce Boudreau,3,12,44,4,2,0,53.8,10,13
2014020496,4,away,LOSS,OT,Craig Berube,2,5,29,4,4,0,41.9,15,0
2014020496,52,home,WIN,OT,Paul Maurice,3,7,43,10,1,0,58.1,20,6
2014020361,6,away,LOSS,REG,Claude Julien,2,8,24,6,3,0,52.6,11,1
2014020361,24,home,WIN,REG,Bruce Boudreau,3,7,24,6,3,0,47.4,14,4
2014020582,2,away,LOSS,REG,Jack Capuano,2,8,34,4,4,2,50.8,11,7
2014020582,22,home,WIN,REG,Todd Nelson,3,5,22,8,2,0,49.2,12,11
2014020229,25,away,LOSS,REG,Lindy Ruff,2,8,24,22,4,1,51.4,6,7
2014020229,53,home,WIN,REG,Dave Tippett,3,9,21,18,6,0,48.6,9,5
2014021050,16,away,WIN,REG,Joel Quenneville,1,7,16,4,2,0,41.3,7,5
2014021050,3,home,LOSS,REG,Alain Vigneault,0,6,20,4,2,0,58.7,17,6
2014020125,52,away,LOSS,REG,Paul Maurice,2,7,20,16,4,2,43.1,7,6
2014020125,2,home,WIN,REG,Jack Capuano,3,5,22,23,5,2,56.9,16,9
2014020083,53,away,TIE,SO,Dave Tippett,3,9,16,10,5,2,54.9,4,7
2014020083,18,home,TIE,SO,Peter Laviolette,3,6,18,10,5,0,45.1,10,6
2014021073,3,away,TIE,SO,Alain Vigneault,2,7,46,4,2,0,44.8,7,12
2014021073,12,home,TIE,SO,Bill Peters,2,7,28,4,2,1,55.2,14,10
2014021202,25,away,WIN,REG,Lindy Ruff,2,8,13,2,3,1,53.8,10,5
2014021202,24,home,LOSS,REG,Bruce Boudreau,0,4,28,6,1,0,46.2,9,6
2014021099,21,away,WIN,REG,Patrick Roy,3,11,14,2,5,1,49.2,6,2
2014021099,22,home,LOSS,REG,Todd Nelson,2,8,20,10,1,1,50.8,9,7
2014020341,9,away,LOSS,REG,Paul MacLean,2,6,37,11,2,0,45.3,5,4
2014020341,13,home,WIN,REG,Gerard Gallant,3,11,38,11,2,0,54.7,4,5
2014020302,13,away,TIE,SO,Gerard Gallant,2,7,14,8,2,0,42.6,6,13
2014020302,18,home,TIE,SO,Peter Laviolette,2,12,9,4,4,0,57.4,8,10
2014020861,4,home,TIE,SO,Craig Berube,2,9,38,8,4,1,50.8,7,6
2014021204,4,home,LOSS,REG,Craig Berube,1,7,35,37,2,0,47.7,8,5
2014020613,4,home,LOSS,REG,Craig Berube,1,6,35,13,6,1,50.9,4,3
2014020124,6,home,WIN,REG,Claude Julien,3,7,23,6,2,1,56.9,7,9
2012030313,6,home,WIN,OT,Claude Julien,2,10,34,18,5,0,42.7,10,13
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
