game_id,team_id,HoA,result,settled_in,head_coach,goals,shots,tackles,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
2012030221,3,away,LOSS,OT,John Tortorella,2,8,44,8,3,0,44.8,17,7
2012030221,6,home,WIN,OT,Claude Julien,3,12,51,6,4,1,55.2,4,5
2012030222,3,away,LOSS,REG,John Tortorella,2,9,33,11,5,0,51.7,1,4
2012030222,6,home,WIN,REG,Claude Julien,3,8,36,19,1,0,48.3,16,6
2012030223,6,away,WIN,REG,Claude Julien,2,8,28,6,0,0,61.8,10,7
2012030223,3,home,LOSS,REG,John Tortorella,1,6,37,2,2,0,38.2,7,9
2012030224,6,away,WIN,OT,Claude Julien,3,10,24,8,4,2,53.7,8,6
2012030224,3,home,LOSS,OT,John Tortorella,2,8,40,8,4,1,46.3,9,7
2012030225,3,away,LOSS,REG,John Tortorella,1,7,25,13,2,1,50.9,5,3
2012030225,6,home,WIN,REG,Claude Julien,3,8,35,11,3,1,49.1,12,9
2012030311,6,away,WIN,REG,Claude Julien,3,7,19,17,4,0,66.7,1,5
2012030311,5,home,LOSS,REG,Dan Bylsma,0,7,34,28,4,0,33.3,8,9
2012030312,6,away,WIN,REG,Claude Julien,4,7,19,6,1,0,50.9,2,5
2012030312,5,home,LOSS,REG,Dan Bylsma,1,6,37,4,2,0,49.1,12,5
2012030313,5,away,LOSS,OT,Dan Bylsma,1,13,46,16,6,0,57.3,8,10
2012030313,6,home,WIN,OT,Claude Julien,2,10,34,18,5,0,42.7,10,13
2012030314,5,away,LOSS,REG,Dan Bylsma,0,6,33,8,3,0,47.5,8,1
2012030314,6,home,WIN,REG,Claude Julien,1,6,25,8,3,0,52.5,11,5
2012030231,17,away,LOSS,REG,Mike Babcock,1,5,43,10,3,0,52.5,6,4
2012030231,16,home,WIN,REG,Joel Quenneville,2,10,24,10,3,1,47.5,2,11
2013020674,19,away,LOSS,REG,Ken Hitchcock,1,7,19,4,1,0,40.3,2,7
2013020674,23,home,WIN,REG,John Tortorella,2,5,14,2,2,0,59.7,6,4
2013020177,24,away,WIN,REG,Bruce Boudreau,3,9,23,6,2,0,52.9,6,12
2013020177,4,home,LOSS,REG,Craig Berube,2,7,35,4,3,1,47.1,16,10
2012020225,29,away,LOSS,REG,Todd Richards,2,6,22,6,3,0,47.6,3,4
2012020225,24,home,WIN,REG,Bruce Boudreau,3,7,24,6,3,2,52.4,6,8
2012020577,12,away,LOSS,REG,Kirk Muller,2,10,20,4,1,0,52.7,3,11
2012020577,6,home,WIN,REG,Claude Julien,4,9,15,2,2,0,47.3,10,3
2013021085,17,away,TIE,REG,Mike Babcock,2,8,32,8,2,0,41.7,4,3
2013021085,29,home,TIE,REG,Todd Richards,2,7,33,6,4,2,58.3,5,5
2012020122,1,away,WIN,REG,Peter DeBoer,3,6,19,21,3,1,46.6,6,9
2012020122,2,home,LOSS,REG,Jack Capuano,0,5,24,15,7,0,53.4,12,6
2012020387,26,away,LOSS,REG,Darryl Sutter,2,8,29,6,5,2,46.2,0,4
2012020387,27,home,WIN,REG,Dave Tippett,3,7,32,10,3,1,53.8,4,6
2013021036,15,away,WIN,REG,Adam Oates,3,7,25,12,3,2,48.6,6,4
2013021036,24,home,LOSS,REG,Bruce Boudreau,2,11,33,8,5,0,51.4,4,3
2012020510,26,away,TIE,SO,Darryl Sutter,3,7,11,8,2,2,46.3,3,2
2012020510,30,home,TIE,SO,Mike Yeo,3,7,23,4,4,1,53.7,4,6
2013020704,20,away,TIE,REG,Bob Hartley,2,6,15,10,2,0,47.8,6,6
2013020704,18,home,TIE,REG,Barry Trotz,2,8,7,6,4,2,52.2,7,6
